category_level_1_name;category_level_2_name;category_level_3_name;category_level_4_name;category_level_5_name;category_action;category_id;category_url;;param_action;param_type;param_id;param_name;param_multiselect_on_posting;param_multiselect_on_filter;param_required_on_posting;;value_action;value_id;value_url;value_name
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5309;Материал;;;;;new;75588;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/demir_75588_13;Железо
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5309;Материал;;;;;new;75766;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/diger-material_75766_13;Другой материал
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5309;Материал;;;;;new;75590;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/plastik_75590_13;Пластик
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;ИСТИНА;ИСТИНА;ЛОЖЬ;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75767;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/bmw;BMW
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75780;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/dodge;Dodge
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75771;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/jeep_75771_13;Jeep
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;76020;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/kamaz;KamAZ
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;76051;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/kia-motors;Kia Motors
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75772;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/lada;Lada
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75779;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/lamborghini_75779_13;Lamborghini
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75773;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/mclaren_75773_13;McLaren
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75768;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/mercedes-benz;Mercedes-Benz
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;76050;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/mitsubishi_76050_13;Mitsubishi
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75782;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/diger-brend_75782_13;Другой бренд
